sentiment|sentence|sentiment_score|confidence_rating|explanation_score|explanation|processed|vector|results|fold|SVM|NB|LR|RF
0|So there is no way for me to plug it in here in the US unless I go by a converter.|-0.0333333333333333|0.8166666666666668|0.7666666666666666|The sentiment score is slightly positive with a minor inconvenience mentioned, but overall not strongly positive or negative. The mention of needing a converter suggests some inconvenience, but the overall tone is neutral without strong emotions.|['way', 'plug', 'us', 'unless', 'go', 'convert', '.']|[0. 0. 0. ... 0. 0. 0.]|0.1787722557783126|4.0|0|0|0|0
1|Good case, Excellent value.|1.0|0.9333333333333332|0.9666666666666668|"The explanations suggest that the overall sentiment of the statement is positive, as it uses positive words like ""good"" and ""excellent"" to describe the case and value, and expresses satisfaction and appreciation for the quality and worth."|['good', 'case', ',', 'excel', 'valu', '.']|[0. 0. 0. ... 0. 0. 0.]|0.9524439573287964|1.0|1|1|1|1
1|Great for the jawbone.|0.8666666666666667|0.8666666666666667|0.8666666666666666|"The consensus is that the statement ""Great for the jawbone"" has a positive sentiment as the word ""great"" indicates a positive opinion and the mention of ""jawbone"" suggests it is beneficial for oral health or suitable for its intended purpose."|['great', 'jawbon', '.']|[0. 0. 0. ... 0. 0. 0.]|0.9669021368026732|3.0|1|1|1|1
0|Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!|-0.7333333333333334|0.8666666666666667|0.85|The sentiment of the text is negative due to the user's frustration and dissatisfaction with being tied to a charger for conversations lasting more than 45 minutes, as they perceive it to be a major problem.|['tie', 'charger', 'convers', 'last', 'minut', '.', 'major', 'problem']|[0. 0. 0. ... 0. 0. 0.]|0.1641997992992401|1.0|0|0|0|0
1|The mic is great.|1.0|0.9333333333333332|0.9333333333333332|The statement expresses a highly positive sentiment towards the mic, with a strong level of confidence, emphasizing the user's satisfaction and favorability.|['mic', 'great', '.']|[0. 0. 0. ... 0. 0. 0.]|0.9564225077629088|4.0|1|1|1|1
0|I have to jiggle the plug to get it to line up right to get decent volume.|0.2|0.7666666666666666|0.5666666666666668|The overall sentiment of the explanations suggests a slightly positive sentiment because the user is able to achieve decent volume after jiggling the plug, indicating a functional solution to the issue.|['jiggl', 'plug', 'get', 'line', 'right', 'get', 'decent', 'volum', '.']|[0. 0. 0. ... 0. 0. 0.]|0.3376939594745636|3.0|0|0|0|0
0|If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.|0.5|0.7833333333333333|0.7666666666666666|"The sentiment of the text is slightly positive, as the mention of ""fun"" suggests enjoyment in sending individual messages to multiple contacts, while the neutral tone brings down the overall sentiment."|['sever', 'dozen', 'sever', 'hundr', 'contact', ',', 'imagin', 'fun', 'send', 'one', 'one', '.']|[0. 0. 0. ... 0. 0. 0.]|0.3494965434074402|4.0|0|0|0|0
1|If you are Razr owner...you must have this!|0.8333333333333334|0.9|0.9|The explanations indicate a strong and positive sentiment towards the product, with a high level of endorsement and enthusiasm expressed.|['razr', 'owner', '...', 'must']|[0. 0. 0. ... 0. 0. 0.]|0.3494965434074402|4.0|0|1|0|0
0|Needless to say, I wasted my money.|-0.8333333333333334|0.9|0.9|"The majority of explanations suggest that the statement ""Needless to say, I wasted my money"" expresses a clear and negative sentiment, indicating disappointment, regret, and dissatisfaction with the purchase."|['needless', 'say', ',', 'wast', 'money', '.']|[0. 0. 0. ... 0. 0. 0.]|0.1181646436452865|3.0|0|0|0|0
0|What a waste of money and time!.|-0.7666666666666666|0.9|0.9333333333333332|The explanations indicate that the sentiment expressed is strongly negative, emphasizing dissatisfaction, frustration, and disappointment with the wasted money and time.|['wast', 'money', 'time', '.']|[0. 0. 0. ... 0. 0. 0.]|0.0982757657766342|4.0|0|0|0|0
